,OptSeries,Side,Exits,EntryTTX,EntryPrice,Invested,ExitTTX,ExitPrice,ProfitLoss,%Return
180,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",6,65,66,6,50,-17,-25.757575757575758
181,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",6,66,67,6,50,-18,-26.865671641791046
182,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",6,67,68,6,50,-19,-27.941176470588236
183,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",6,68,69,6,50,-20,-28.985507246376812
184,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",5,63,64,5,80,15,23.4375
185,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",5,64,65,5,80,14,21.53846153846154
186,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",5,65,66,5,80,13,19.696969696969695
187,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",5,66,67,5,80,12,17.91044776119403
188,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",5,67,68,5,80,11,16.176470588235293
189,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",5,68,69,5,80,10,14.492753623188406
190,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",5,69,70,5,80,9,12.857142857142858
191,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",5,70,71,5,80,8,11.267605633802816
192,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",5,71,72,5,80,7,9.722222222222221
193,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",5,72,73,5,80,6,8.219178082191782
194,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",5,73,74,5,80,5,6.756756756756757
195,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",5,74,75,5,80,4,5.333333333333333
196,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",4,64,65,4,80,14,21.53846153846154
197,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",4,65,66,4,80,13,19.696969696969695
198,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",4,66,67,4,80,12,17.91044776119403
199,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",4,67,68,4,80,11,16.176470588235293
200,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",4,68,69,4,80,10,14.492753623188406
201,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",4,69,70,4,80,9,12.857142857142858
202,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",4,70,71,4,80,8,11.267605633802816
203,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",4,71,72,4,80,7,9.722222222222221
204,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",4,72,73,4,80,6,8.219178082191782
205,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",4,73,74,4,80,5,6.756756756756757
206,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 50)",4,74,75,4,80,4,5.333333333333333
207,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 40)",9,71,72,7,40,-33,-45.833333333333336
208,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 40)",9,72,73,7,40,-34,-46.57534246575342
209,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 40)",9,73,74,7,40,-35,-47.2972972972973
210,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 40)",9,74,75,7,40,-36,-48.0
211,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 40)",8,55,56,7,40,-17,-30.357142857142858
212,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 40)",8,56,57,7,40,-18,-31.57894736842105
213,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 40)",8,57,58,7,40,-19,-32.758620689655174
214,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 40)",8,58,59,7,40,-20,-33.898305084745765
215,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 40)",8,59,60,7,40,-21,-35.0
216,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 40)",8,60,61,7,40,-22,-36.0655737704918
217,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 40)",8,61,62,7,40,-23,-37.096774193548384
218,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 40)",8,62,63,7,40,-24,-38.095238095238095
219,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 40)",8,63,64,7,40,-25,-39.0625
220,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 40)",8,64,65,7,40,-26,-40.0
221,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 40)",8,65,66,7,40,-27,-40.90909090909091
222,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 40)",8,66,67,7,40,-28,-41.791044776119406
223,"('US 500', '2021-07-16', '14:20', 4332.75)",long,"(80, 40)",8,67,68,7,40,-29,-42.64705882352941
